,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight,weight
stock,ACB,BVH,DCM,DGC,DIG,DPM,DXG,EIB,FRT,GEX,HCM,HDB,HPG,HSG,KBC,KDC,KDH,MSN,NAB,NVL,PDR,PHR,PLX,POW,PPC,SAB,SBT,SHB,SSI,STB,TCH,VCB,VCG,VCI,VGC,VHC,VHM,VIC,VJC,VND,VNM,VPI,VRE,ACB,BVH,DCM,DGC,DIG,DPM,DXG,EIB,FRT,GEX,HCM,HDB,HPG,HSG,KBC,KDC,KDH,MSN,NAB,NVL,PDR,PHR,PLX,POW,PPC,SAB,SBT,SHB,SSI,STB,TCH,VCB,VCG,VCI,VGC,VHC,VHM,VIC,VJC,VND,VNM,VPI,VRE
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-19,4800.0,600.0,,,,1700.0,1100.0,,,2600.0,1200.0,5200.0,12300.0,,2300.0,,,5700.0,,3900.0,2300.0,500.0,2000.0,5100.0,700.0,800.0,3100.0,,4700.0,5900.0,1900.0,3200.0,2400.0,,700.0,600.0,5700.0,5400.0,1700.0,,5600.0,,12100.0,0.025994,0.005938,,,,0.005248,0.004218,,,0.010794,0.006239,0.022486,0.108496,,0.014148,,,0.0929229999999999,,0.068282,0.026621,0.004374,0.017364,0.010942,0.003116,0.02105,0.0109559999999999,,0.025981,0.021103,0.00701,0.049732,0.01776,,0.003834,0.003361,0.093317,0.124637,0.035775,,0.087515,,0.06671
2021-04-20,4400.0,600.0,,,,1600.0,1000.0,,,2400.0,1100.0,4900.0,11200.0,,2100.0,,,5200.0,,3700.0,2100.0,500.0,1900.0,4800.0,700.0,700.0,2900.0,,4400.0,5500.0,1800.0,2900.0,2200.0,,700.0,500.0,5300.0,5000.0,1600.0,,5200.0,,11300.0,0.023673,0.005475,,,,0.004756,0.004002,,,0.010062,0.005835,0.020987,0.10274,,0.0129919999999999,,,0.088934,,0.063355,0.025457,0.004066,0.015488,0.0098929999999999,0.002886,0.01928,0.0098,,0.024227,0.019922,0.006498,0.045636,0.016288,,0.003493,0.003109,0.087965,0.1143479999999999,0.032645,,0.079074,,0.060777
2021-04-22,4300.0,600.0,,,,1600.0,1000.0,,,2400.0,1100.0,4800.0,11400.0,,2100.0,,,5300.0,,3700.0,2200.0,500.0,1900.0,4800.0,700.0,700.0,2900.0,,4400.0,5500.0,1800.0,3000.0,2200.0,,700.0,500.0,5300.0,5000.0,1600.0,,5200.0,,11300.0,0.022898,0.005561,,,,0.004792,0.004031,,,0.00964,0.005637,0.020738,0.102706,,0.012582,,,0.088496,,0.062546,0.027037,0.003981,0.01572,0.009737,0.002863,0.019123,0.009518,,0.0235449999999999,0.019414,0.006279,0.048064,0.016532,,0.003486,0.003088,0.090667,0.112702,0.032827,,0.081038,,0.0614339999999999
2021-04-23,4200.0,600.0,,,,1600.0,1000.0,,,2400.0,1100.0,4900.0,11400.0,,2100.0,,,5300.0,,3700.0,2200.0,500.0,1900.0,4800.0,700.0,700.0,2900.0,,4400.0,5500.0,1800.0,3000.0,2200.0,,700.0,500.0,5300.0,5000.0,1600.0,,5200.0,,11300.0,0.022149,0.005595,,,,0.004857,0.003929,,,0.009843,0.0054979999999999,0.0208789999999999,0.102818,,0.01219,,,0.085765,,0.0644,0.027086,0.003955,0.01578,0.0096309999999999,0.002937,0.019634,0.009232,,0.022827,0.018867,0.006177,0.050034,0.017174,,0.003617,0.003144,0.089601,0.113792,0.034018,,0.083272,,0.059523
2021-04-26,4100.0,600.0,,,,1600.0,1000.0,,,2400.0,1100.0,4900.0,11500.0,,2100.0,,,5400.0,,3700.0,2200.0,500.0,1900.0,4800.0,700.0,700.0,2900.0,,4400.0,5400.0,1800.0,3000.0,2200.0,,700.0,500.0,5300.0,5000.0,1600.0,,5200.0,,11400.0,0.022147,0.005645,,,,0.00486,0.003901,,,0.010201,0.005735,0.021167,0.104527,,0.012681,,,0.086584,,0.063665,0.02759,0.003977,0.015642,0.009739,0.002912,0.019739,0.009472,,0.023516,0.019512,0.0063549999999999,0.050096,0.017031,,0.003628,0.003185,0.090485,0.112428,0.033498,,0.0838,,0.060107
2021-04-27,3800.0,600.0,,,,1600.0,1000.0,,,2400.0,1100.0,4900.0,11600.0,,2200.0,,,5400.0,,3700.0,2900.0,500.0,1900.0,4800.0,700.0,700.0,2900.0,,4500.0,5700.0,1800.0,3000.0,2200.0,,700.0,500.0,5400.0,5100.0,1600.0,,5300.0,,11500.0,0.0210659999999999,0.005666,,,,0.004946,0.003779,,,0.01036,0.0056479999999999,0.0215439999999999,0.105479,,0.013715,,,0.084948,,0.070308,0.035905,0.004064,0.01583,0.009665,0.003025,0.020385,0.009861,,0.023343,0.021206,0.006328,0.049053,0.017661,,0.003741,0.00325,0.088658,0.110398,0.034071,,0.083544,,0.05897
2021-04-28,3700.0,600.0,,,,1600.0,1000.0,,,2400.0,1100.0,4900.0,11600.0,,2100.0,,,5400.0,,3700.0,2700.0,500.0,1900.0,4800.0,700.0,700.0,2900.0,,4500.0,5500.0,1800.0,3000.0,2200.0,,700.0,500.0,5400.0,5100.0,1600.0,,5300.0,,11500.0,0.0204199999999999,0.0055969999999999,,,,0.004921,0.003822,,,0.0103509999999999,0.005603,0.0216489999999999,0.107107,,0.012944,,,0.0871069999999999,,0.074206,0.032002,0.003891,0.015294,0.009601,0.002997,0.02024,0.009653,,0.023258,0.020687,0.00636,0.048948,0.017553,,0.003705,0.003205,0.088458,0.110241,0.0337699999999999,,0.082735,,0.057563
