Date,stock,volume,weight
2021-04-16,ACB,,
2021-04-16,BVH,,
2021-04-16,DCM,,
2021-04-16,DGC,,
2021-04-16,DIG,,
2021-04-16,DPM,,
2021-04-16,DXG,,
2021-04-16,EIB,,
2021-04-16,FRT,,
2021-04-16,GEX,,
2021-04-16,HCM,,
2021-04-16,HDB,,
2021-04-16,HPG,,
2021-04-16,HSG,,
2021-04-16,KBC,,
2021-04-16,KDC,,
2021-04-16,KDH,,
2021-04-16,MSN,,
2021-04-16,NAB,,
2021-04-16,NVL,,
2021-04-16,PDR,,
2021-04-16,PHR,,
2021-04-16,PLX,,
2021-04-16,POW,,
2021-04-16,PPC,,
2021-04-16,SAB,,
2021-04-16,SBT,,
2021-04-16,SHB,,
2021-04-16,SSI,,
2021-04-16,STB,,
2021-04-16,TCH,,
2021-04-16,VCB,,
2021-04-16,VCG,,
2021-04-16,VCI,,
2021-04-16,VGC,,
2021-04-16,VHC,,
2021-04-16,VHM,,
2021-04-16,VIC,,
2021-04-16,VJC,,
2021-04-16,VND,,
2021-04-16,VNM,,
2021-04-16,VPI,,
2021-04-16,VRE,,
2021-04-19,ACB,48.0,0.00025994
2021-04-19,BVH,6.0,5.938e-05
2021-04-19,DCM,,
2021-04-19,DGC,,
2021-04-19,DIG,,
2021-04-19,DPM,17.0,5.248e-05
2021-04-19,DXG,10.0,4.2180000000000006e-05
2021-04-19,EIB,,
2021-04-19,FRT,,
2021-04-19,GEX,25.0,0.00010794
2021-04-19,HCM,12.0,6.239e-05
2021-04-19,HDB,52.0,0.00022486
2021-04-19,HPG,122.0,0.00108496
2021-04-19,HSG,,
2021-04-19,KBC,23.0,0.00014148
2021-04-19,KDC,,
2021-04-19,KDH,,
2021-04-19,MSN,57.0,0.00092923
2021-04-19,NAB,,
2021-04-19,NVL,38.0,0.00068282
2021-04-19,PDR,23.0,0.00026621
2021-04-19,PHR,5.0,4.3740000000000005e-05
2021-04-19,PLX,20.0,0.00017364
2021-04-19,POW,51.0,0.00010942
2021-04-19,PPC,7.0,3.116e-05
2021-04-19,SAB,7.0,0.0002105
2021-04-19,SBT,30.0,0.0001095599999999
2021-04-19,SHB,,
2021-04-19,SSI,47.0,0.00025981
2021-04-19,STB,58.0,0.00021103
2021-04-19,TCH,18.0,7.01e-05
2021-04-19,VCB,31.0,0.00049732
2021-04-19,VCG,23.0,0.0001776
2021-04-19,VCI,,
2021-04-19,VGC,7.0,3.834e-05
2021-04-19,VHC,5.0,3.3610000000000005e-05
2021-04-19,VHM,56.0,0.00093317
2021-04-19,VIC,53.0,0.00124637
2021-04-19,VJC,17.0,0.00035775
2021-04-19,VND,,
2021-04-19,VNM,55.0,0.00087515
2021-04-19,VPI,,
2021-04-19,VRE,121.0,0.0006671
2021-04-20,ACB,44.0,0.00023673
2021-04-20,BVH,5.0,5.475e-05
2021-04-20,DCM,,
2021-04-20,DGC,,
2021-04-20,DIG,,
2021-04-20,DPM,15.0,4.756e-05
2021-04-20,DXG,9.0,4.0020000000000006e-05
2021-04-20,EIB,,
2021-04-20,FRT,,
2021-04-20,GEX,23.0,0.00010062
2021-04-20,HCM,11.0,5.835e-05
2021-04-20,HDB,48.0,0.00020987
2021-04-20,HPG,112.0,0.0010274
2021-04-20,HSG,,
2021-04-20,KBC,21.0,0.0001299199999999
2021-04-20,KDC,,
2021-04-20,KDH,,
2021-04-20,MSN,52.0,0.00088934
2021-04-20,NAB,,
2021-04-20,NVL,36.0,0.00063355
2021-04-20,PDR,21.0,0.00025457
2021-04-20,PHR,4.0,4.066e-05
2021-04-20,PLX,18.0,0.00015488
2021-04-20,POW,47.0,9.893e-05
2021-04-20,PPC,6.0,2.886e-05
2021-04-20,SAB,7.0,0.0001928
2021-04-20,SBT,28.0,9.8e-05
