Date,stock,last_issued_share,nav_asset_value,nav_asset_per_lot,nav_per_share,buyback_lots,additional_lots,net_daily_lot,primary_flow
2016-03-12,VFMVN30,36600000.0,339943051834.0,928806153.0,9288.06,0.0,0.0,0.0,0.0
2016-03-23,VFMVN30,36600000.0,336410896073.0,919155454.0,9191.55,0.0,0.0,0.0,0.0
2016-03-24,VFMVN30,36600000.0,337922856091.0,923286492.0,9232.86,0.0,0.0,0.0,0.0
2016-03-25,VFMVN30,36600000.0,336006658497.0,918050980.0,9180.5,0.0,0.0,0.0,0.0
2016-03-28,VFMVN30,36600000.0,336533109165.0,919489369.0,9194.89,0.0,0.0,0.0,0.0
2016-03-29,VFMVN30,36600000.0,338926815301.0,926029550.0,9260.29,0.0,0.0,0.0,0.0
2016-03-30,VFMVN30,36600000.0,334722484952.0,914542309.0,9145.42,0.0,0.0,0.0,0.0
2016-03-31,VFMVN30,36600000.0,335850840658.0,917625248.0,9176.25,0.0,0.0,0.0,0.0
2016-04-04,VFMVN30,36600000.0,330659498481.0,903441253.0,9034.41,0.0,0.0,0.0,0.0
2016-04-05,VFMVN30,36600000.0,329157357794.0,899337043.0,8993.37,0.0,0.0,0.0,0.0
2016-04-08,VFMVN30,36600000.0,337023565999.0,920829415.0,9208.29,0.0,0.0,0.0,0.0
2016-04-11,VFMVN30,36600000.0,336811696824.0,920250538.0,9202.5,0.0,0.0,0.0,0.0
2016-04-12,VFMVN30,36600000.0,341351343138.0,932653943.0,9326.53,0.0,0.0,0.0,0.0
2016-04-13,VFMVN30,36600000.0,341740661714.0,933717655.0,9337.17,0.0,0.0,0.0,0.0
2016-04-14,VFMVN30,36600000.0,340078828177.0,929177126.0,9291.77,0.0,5.0,5.0,4645885630.0
2016-04-15,VFMVN30,37100000.0,341327173223.0,932587905.0,9325.87,0.0,0.0,0.0,0.0
2016-04-19,VFMVN30,37100000.0,344928384726.0,929726104.0,9297.26,0.0,1.0,1.0,929726104.0
2016-04-20,VFMVN30,37200000.0,339368481523.0,914739842.0,9147.39,0.0,5.0,5.0,4573699210.0
2016-04-21,VFMVN30,37700000.0,340631092012.0,915674979.0,9156.74,0.0,0.0,0.0,0.0
2016-04-22,VFMVN30,37700000.0,349652452355.0,927460086.0,9274.6,0.0,0.0,0.0,0.0
2016-04-25,VFMVN30,37700000.0,357191263796.0,947456933.0,9474.56,0.0,0.0,0.0,0.0
2016-04-26,VFMVN30,37700000.0,356448845212.0,945487653.0,9454.87,0.0,0.0,0.0,0.0
2016-04-27,VFMVN30,37700000.0,360709015064.0,956787838.0,9567.87,0.0,0.0,0.0,0.0
2016-04-28,VFMVN30,38200000.0,358399955283.0,950663011.0,9506.63,0.0,5.0,5.0,4753315055.0
2016-04-29,VFMVN30,38700000.0,362306416759.0,948446117.0,9484.46,0.0,0.0,0.0,0.0
2016-05-04,VFMVN30,38700000.0,370446737184.0,957226711.0,9572.26,1.0,0.0,-1.0,-957226711.0
2016-05-05,VFMVN30,38600000.0,371289389901.0,959404108.0,9594.04,0.0,1.0,1.0,959404108.0
2016-05-06,VFMVN30,38700000.0,371606858689.0,962712069.0,9627.12,6.0,0.0,-6.0,-5776272414.0
2016-05-09,VFMVN30,38100000.0,374305715783.0,967198232.0,9671.98,5.0,0.0,-5.0,-4835991160.0
2016-05-10,VFMVN30,37600000.0,366563754341.0,962109591.0,9621.09,0.0,0.0,0.0,0.0
2016-05-11,VFMVN30,37600000.0,361920223316.0,962553785.0,9625.53,0.0,0.0,0.0,0.0
2016-05-12,VFMVN30,37600000.0,366339305037.0,974306662.0,9743.06,2.0,0.0,-2.0,-1948613324.0
2016-05-13,VFMVN30,37400000.0,366378279031.0,974410317.0,9744.1,1.0,0.0,-1.0,-974410317.0
2016-05-16,VFMVN30,37300000.0,363169254794.0,971040788.0,9710.4,0.0,0.0,0.0,0.0
2016-05-17,VFMVN30,37300000.0,365279665004.0,979302051.0,9793.02,0.0,0.0,0.0,0.0
2016-05-18,VFMVN30,37300000.0,369895161545.0,991676036.0,9916.76,2.0,0.0,-2.0,-1983352072.0
2016-05-19,VFMVN30,37100000.0,370474974040.0,993230493.0,9932.3,0.0,0.0,0.0,0.0
2016-05-20,VFMVN30,37100000.0,366835660439.0,988775365.0,9887.75,0.0,0.0,0.0,0.0
2016-05-23,VFMVN30,37100000.0,364008732942.0,981155614.0,9811.55,0.0,0.0,0.0,0.0
2016-05-24,VFMVN30,37100000.0,363255180175.0,979124475.0,9791.24,2.0,0.0,-2.0,-1958248950.0
2016-05-25,VFMVN30,36900000.0,363351605123.0,979384380.0,9793.84,0.0,0.0,0.0,0.0
2016-05-26,VFMVN30,36900000.0,360283620125.0,976378374.0,9763.78,2.0,0.0,-2.0,-1952756748.0
2016-05-27,VFMVN30,36700000.0,356993918551.0,967463194.0,9674.63,0.0,0.0,0.0,0.0
2016-05-30,VFMVN30,36700000.0,358117371745.0,975796653.0,9757.96,0.0,0.0,0.0,0.0
2016-05-31,VFMVN30,36700000.0,361455466056.0,984892278.0,9848.92,6.0,0.0,-6.0,-5909353668.0
2016-06-01,VFMVN30,36100000.0,361918416560.0,986153724.0,9861.53,1.0,0.0,-1.0,-986153724.0
2016-06-02,VFMVN30,36000000.0,357268207829.0,989662626.0,9896.62,3.0,0.0,-3.0,-2968987878.0
2016-06-03,VFMVN30,35700000.0,357306788948.0,992518858.0,9925.18,0.0,0.0,0.0,0.0
2016-06-06,VFMVN30,35700000.0,354750889541.0,993699971.0,9936.99,0.0,0.0,0.0,0.0
2016-06-07,VFMVN30,35700000.0,353502887449.0,990204167.0,9902.04,0.0,0.0,0.0,0.0
2016-06-08,VFMVN30,35700000.0,356406082346.0,998336365.0,9983.36,0.0,0.0,0.0,0.0
2016-06-09,VFMVN30,35700000.0,359862274740.0,1008017576.0,10080.17,0.0,0.0,0.0,0.0
