time_str,stock,side,quantity,matched_vol,matched_value,ts,num_lot,block_start_time,no_similarity_stock,segment_ids,lot_bucket,segment_length,initial_ts,arbit_ratio,unwind_ratio,arbit_value,unwind_value
10030715,HPG,-1.0,176.0,8000.0,201600000.0,2024-09-11 03:08:10.603,45.4545,2024-09-11 03:07:15.035,18,16000002,39.25,11,2024-09-11 03:07:15.603,0.0,45.4545,0.0,201600000.0
10030724,VCI,-1.0,23.0,1000.0,44050000.0,2024-09-11 03:08:19.056,43.4783,2024-09-11 03:07:24.056,19,16000002,39.25,11,2024-09-11 03:07:24.056,0.0,43.4783,0.0,44050000.0
10030731,VIC,-1.0,96.0,4000.0,169200000.0,2024-09-11 03:08:26.011,41.6667,2024-09-11 03:07:31.011,19,16000002,39.25,11,2024-09-11 03:07:31.011,0.0,41.6667,0.0,169200000.0
10030733,DGC,-1.0,14.0,500.0,56100000.0,2024-09-11 03:08:28.878,35.7143,2024-09-11 03:07:33.211,18,16000002,39.25,11,2024-09-11 03:07:33.878,0.0,35.7143,0.0,56100000.0
10030742,VCI,-1.0,23.0,1000.0,44000000.0,2024-09-11 03:08:37.754,43.4783,2024-09-11 03:07:42.058,21,16000002,39.25,11,2024-09-11 03:07:42.754,0.0,43.4783,0.0,44000000.0
10030742,VND,-1.0,84.0,3700.0,53280000.0,2024-09-11 03:08:37.936,44.0476,2024-09-11 03:07:42.058,21,16000002,39.25,11,2024-09-11 03:07:42.936,0.0,44.0476,0.0,53280000.0
10030743,PDR,-1.0,34.0,1500.0,31050000.0,2024-09-11 03:08:38.817,44.1176,2024-09-11 03:07:43.620,20,16000002,39.25,11,2024-09-11 03:07:43.817,0.0,44.1176,0.0,31050000.0
10030744,DIG,-1.0,23.0,1000.0,21600000.0,2024-09-11 03:08:39.478,43.4783,2024-09-11 03:07:44.140,20,16000002,39.25,11,2024-09-11 03:07:44.478,0.0,43.4783,0.0,21600000.0
10030748,KBC,-1.0,29.0,1000.0,25550000.0,2024-09-11 03:08:43.162,34.4828,2024-09-11 03:07:48.162,19,16000002,39.25,11,2024-09-11 03:07:48.162,0.0,34.4828,0.0,25550000.0
10030752,DPM,-1.0,15.0,600.0,20760000.0,2024-09-11 03:08:47.993,40.0,2024-09-11 03:07:52.205,20,16000002,39.25,11,2024-09-11 03:07:52.993,0.0,40.0,0.0,20760000.0
10030753,PDR,-1.0,34.0,1200.0,24840000.0,2024-09-11 03:08:48.852,35.2941,2024-09-11 03:07:53.156,17,16000002,39.25,11,2024-09-11 03:07:53.852,0.0,35.2941,0.0,24840000.0
10030852,KDH,-1.0,31.0,700.0,25760000.0,2024-09-11 03:09:47.807,22.5806,2024-09-11 03:08:52.124,17,14000002,22.25,15,2024-09-11 03:08:52.807,0.0,22.5806,0.0,25760000.0
10030853,VHM,-1.0,102.0,2200.0,92180000.0,2024-09-11 03:09:48.658,21.5686,2024-09-11 03:08:53.316,17,14000002,22.25,15,2024-09-11 03:08:53.658,0.0,21.5686,0.0,92180000.0
10030856,DCM,-1.0,10.0,200.0,7360000.0,2024-09-11 03:09:51.239,20.0,2024-09-11 03:08:56.237,17,14000002,22.25,15,2024-09-11 03:08:56.239,0.0,20.0,0.0,7360000.0
10030903,FRT,-1.0,5.0,100.0,17990000.0,2024-09-11 03:09:58.623,20.0,2024-09-11 03:09:03.117,19,14000002,22.25,15,2024-09-11 03:09:03.623,0.0,20.0,0.0,17990000.0
10030909,DCM,-1.0,10.0,200.0,7360000.0,2024-09-11 03:10:04.545,20.0,2024-09-11 03:09:09.545,19,14000002,22.25,15,2024-09-11 03:09:09.545,0.0,20.0,0.0,7360000.0
10030918,VCI,-1.0,23.0,500.0,22005000.0,2024-09-11 03:10:13.281,21.7391,2024-09-11 03:09:18.281,18,14000002,22.25,15,2024-09-11 03:09:18.281,0.0,21.7391,0.0,22005000.0
10030921,VRE,-1.0,70.0,2400.0,45480000.0,2024-09-11 03:10:16.459,34.2857,2024-09-11 03:09:21.440,19,15000005,29.5,9,2024-09-11 03:09:21.459,0.0,34.2857,0.0,45480000.0
10030921,POW,-1.0,36.0,1000.0,12850000.0,2024-09-11 03:10:16.907,27.7778,2024-09-11 03:09:21.440,17,15000005,29.5,9,2024-09-11 03:09:21.907,0.0,27.7778,0.0,12850000.0
10030922,VCI,-1.0,23.0,500.0,22020000.0,2024-09-11 03:10:17.778,21.7391,2024-09-11 03:09:22.087,18,14000002,22.25,15,2024-09-11 03:09:22.778,0.0,21.7391,0.0,22020000.0
10030923,PDR,-1.0,34.0,1000.0,20700000.0,2024-09-11 03:10:18.385,29.4118,2024-09-11 03:09:23.156,17,15000005,29.5,9,2024-09-11 03:09:23.385,0.0,29.4118,0.0,20700000.0
10030923,DIG,-1.0,23.0,500.0,10775000.0,2024-09-11 03:10:18.387,21.7391,2024-09-11 03:09:23.156,18,14000002,22.25,15,2024-09-11 03:09:23.387,0.0,21.7391,0.0,10775000.0
10030928,VIC,-1.0,96.0,2500.0,105375000.0,2024-09-11 03:10:23.375,26.0417,2024-09-11 03:09:28.183,19,15000005,29.5,9,2024-09-11 03:09:28.375,0.0,26.0417,0.0,105375000.0
10030932,VND,-1.0,84.0,2000.0,28700000.0,2024-09-11 03:10:27.561,23.8095,2024-09-11 03:09:32.309,18,14000002,22.25,15,2024-09-11 03:09:32.561,0.0,23.8095,0.0,28700000.0
10030934,HPG,-1.0,176.0,6000.0,150600000.0,2024-09-11 03:10:29.240,34.0909,2024-09-11 03:09:34.234,17,15000005,29.5,9,2024-09-11 03:09:34.240,0.0,34.0909,0.0,150600000.0
10030936,VNM,-1.0,56.0,1500.0,111450000.0,2024-09-11 03:10:31.576,26.7857,2024-09-11 03:09:36.148,18,15000005,29.5,9,2024-09-11 03:09:36.576,0.0,26.7857,0.0,111450000.0
10030936,VCI,-1.0,23.0,500.0,22025000.0,2024-09-11 03:10:31.751,21.7391,2024-09-11 03:09:36.148,18,14000002,22.25,15,2024-09-11 03:09:36.751,0.0,21.7391,0.0,22025000.0
10030940,PDR,-1.0,34.0,700.0,14490000.0,2024-09-11 03:10:35.303,20.5882,2024-09-11 03:09:40.303,18,14000002,22.25,15,2024-09-11 03:09:40.303,0.0,20.5882,0.0,14490000.0
10030944,MSN,-1.0,50.0,1000.0,74800000.0,2024-09-11 03:10:39.501,20.0,2024-09-11 03:09:44.005,17,14000002,22.25,15,2024-09-11 03:09:44.501,0.0,20.0,0.0,74800000.0
10030945,VRE,-1.0,70.0,2000.0,37800000.0,2024-09-11 03:10:40.956,28.5714,2024-09-11 03:09:45.102,17,15000005,29.5,9,2024-09-11 03:09:45.956,0.0,28.5714,0.0,37800000.0
10030946,VCI,-1.0,23.0,700.0,30835000.0,2024-09-11 03:10:41.284,30.4348,2024-09-11 03:09:46.062,17,15000005,29.5,9,2024-09-11 03:09:46.284,0.0,30.4348,0.0,30835000.0
10030946,HPG,-1.0,176.0,5000.0,125500000.0,2024-09-11 03:10:41.973,28.4091,2024-09-11 03:09:46.062,17,15000005,29.5,9,2024-09-11 03:09:46.973,0.0,28.4091,0.0,125500000.0
10030951,KBC,-1.0,29.0,600.0,15270000.0,2024-09-11 03:10:46.373,20.6897,2024-09-11 03:09:51.371,18,14000002,22.25,15,2024-09-11 03:09:51.373,0.0,20.6897,0.0,15270000.0
